Username,Komen
Efrina Rina,Salut buat mami...!!
Nurmala Aritonang,Saya suka dengan lagunya Inanguda
Lenny Putri,Mantap bahagia dan sehat sehat  selalu mamie dan seluruh keluarga Tuhan berkati ...selamat menikmati berkat berkat Tuhan
Lamsari Oxcelliana Tinambunan,Makan yg banyak miii biar fit lagiii
Dinna Mariana Manalu,
Maria Valdez New,Syukur lah udah vaksin ya mi... Sehat selalu mami...
Laura Hutagalung,Mantap bou hasian sehat selalu dan semakin sukses dalam segala hal yang baik ya komandan l love you
Dian Calista,Sehat semua mami syang
Linda Manik,"Bou kan sebritis sudah mendunia,bukan se Nusantara lagi"
Veronica Veronica,
Mamak Celine Siahaan,Saya senang dengar lagu bou ini selalu aku putra b ou
Samina Sihombing,"Mantaf bou..... Sukses trus, sehat slalu"
Nani Sitepu,
Dewi Sinambela,sehat slalu buat bou dan keluarga bou..
Audrey Helen,Hi bou..aq br.naimarata jg bou
Yaya Yaya,Kenapa ga tanya detail kedoktery bun
Robby Al Fazzry,Dtespek positif gk bun
NiSa Nasa,Penebalan diding rahim Bu bunda gemukah bun
Nadila Khairiyah,Harusnya tanya detail ke dokter bun
Mmah YusupMah Acca,Ga tanya dokter ya bun ..bagai mana2 ya ..
Ibu'e Rangga,Bukan rahim tebal.tapi lemak mungkin bun
Tamara Rizki,Sebelum usg emng ga di testpek dlu?
Zyy Beautycare,"loh emg ga konsul sama dokternya ,, kalo usg mending tanta detail sedetail sedetailnya biar apa yg jd bahan pertanyaan kita itu kejawab kalo gini kan bingung ,,"
Winda Lesmana,"Kaya aku , pas k dktr rahim aku sehat sehat ajja pas sma paraji d kmpung ku d urut katanya rahim aku dalem/jauh itu mksd nya gmna yaa , maaf bun jgn d bully panttian 7 taun"
Irma,Penebalan dinding rahim..nanti kalo bunda sdh dtng haid...itu keluar juga bun.bunda i7ga di anjurkan diet...aku dulu gitu
Syah II,"Katanya kan kmren tes garis 1 bund. Seharusnya bundanya harus tanya se detail""nya. Biar GC jadi pertanyaan.. knpa smpk telan berbulan"" gtuu"
Alvianti Vita,"Itu mungkin penebalan dinding rahim Bun,itu biasany di kasih obat,dulu saya pernh nglmin itu"
Painem Painem Paijem,Mentruasi p g
Nung Maniezt,Itu penebalan dinding rahim bund
Nur Joni,"Belum rezeki sabar aja ,mungkin Allah belum percaya menitip kan malaikat nya"
Suhariadi,sabar bund banyak berdoa agar cpt di kasih momongan...mungkin Allah masih punya rencana lain untuk bunda
Siswati Aditya,"Apakah SDH mencoba kosumsi air mineral(alkali silika jaya Nusantara)bxak manfaatx bund,untuk menetralisir zat""kimia/lemak""yg menumpuk di dlm tubuh kita dan menyuburkan kandungan"
Siswati Aditya,Semua pake perantara serta berdo'a sama Allah
Mull Van Hoten,Di TF negativ apa positip
Yola Anggraini R,"Aku dulu penebalan dinding rahim juga kata dokter bun,tp hasil tespek aku positif,dan aku bertawakal aja bun, alhamdulillah bulan berikutnya aku nggak haid,dan sekarang aku lagi hamil 8 bln"
Silmi Azkia Nissa,Berapa minggu kak ?
Thatha,Mungkin mkzt nya dokter kebanyakan lemak
Ririn Rtg,"Kaya saya gitu juga bun saya kira hamil ternyata penebalan rahim, krna curiga juga gk mens trakhir nya saya cek ke dokter ternyata darah haid nya nempel kerahim jdi blm bisa hamil, dokter bilang sakit miom"
Novi Iskandarr,Sebelumnya udah tespek ya bun
Lina Marwah,"Maaf Bun... Lari dari topik... Bun anak aku umurnya masih 21 hari, GX apa2 kan Bun debaynya potong kuku??"
Titik Sadja,Mngkin ibu prnh kggurn kh shingg mnjdikn dinding rahim tebal
Sutik Ningrum,Lo na pyn telat mens ap ngk c bun
Isni Talbiaah,Biasanya itu peneballan dinding rahim bun
Ndoro Putri RanRan,Biasanya pake transvaginal lebih akurat
Chebonk Art,"Tapi sebelum nya udah di Tespek.ngak buk ,Sampe berapa bulan ngak haid buk"
Hafiza Lubna,Diet bund.
Cici N Nasaru,Kalo saya Bun rahim nya kecil kata dokter itu gimanayah
Nooerhalimah,"Dinding rahim tebal biasanya bun, soalnya pengalaman saya begitu jadi susah untuk hamil,, biasanya dokter nyaranin buat diet bun untuk menipiskan lemak dinding rahim kalau sudah tipis insyaAllah sudah siap untuk di buahi.."
Arsyila Mawaddatul Jannah,"Tebal itu krna trlalu banyak lemak,,,,trs dokter nya nyaranin bunda gimana?"
Marcella Ezz,"Seharusnya tadi usg nanya sama dokternya Bun biar enak,,,terus nanya solusinya gimana gitu bun"
Leha Po'nyak,Tebal karnah bnyk lemak kyk nya jadi bgtuu kurangi mkn nya dlu ya bunn di dkt rmh bnyk kok kek gtuu
Rini Mamath Putra,"Maap bun saya mau tanya klw hed gk lancar pengn hed lancar kira"" minum apa y"
Alex Alex,Hi..bunda semoga sehat selalu ya
Zarina Zamoure,lum jo terungkap lai na
Chiie,Kejam
Melda Yanti,jangan sampai kakek nya kabur
Endang Erwina,"Ya allah kejamnyo lai...serah kan diri se la lai.siapopun pelakunyo indak k bs lalok lamak do.allah itu tdk tdurr..bkin pusiang urang se,indak k bs bebas do setelah berbuat skejam itu"
Weninoeferi,Astagfirullahalazim....kejam bn neneknyo
Apri Susanti Lili,di mn tu kajadianyo.disolok selatan
Indra Dilly,Kejam nyo ya Allah...
Eka Putra,"Allah akan membalas dunia dan akhirat, Aamiin"
Zakia Zalika,astaufirullah kejam nyo lae ya allah...merinding awk mndanga nyo trso dek awk yg pnyo anak...smpai sgtu nyo banci smo ank2 ketek yg tak lain cucu surang...mskpn bkn cucu kndung...mngkn dek bkn xucu kndung ndk mko nyo di lkukan se keji itu tkut anak nya terbebani..
Susiemiminya BiacthAshoka Topchersiegahara,Lai Bana berita e ko...
Susiemiminya BiacthAshoka Topchersiegahara,Kjdian di Solok Selatan Lo MH Muaro labuah....tpi lah lamo kjdian e lai....
Ny Iskandar,Ada kakek nenek tiri . Bukan LG Mak tiri..
Susiemiminya BiacthAshoka Topchersiegahara,Foto anak e Samo...
Carissa Carina,Ya allah..jahaat nya...
Wati Naila Akbhar Epi,Ya allah jahat kali
Nurnengsih Haryadi,Semoga kakek dan nenek nyo di hukum mati saja
Indrayanti Samsri,"Solok Selatan,yg pasti di mana kampung kecilnya gaes"
Nurnengsih Haryadi,"Gk manusia itu kakek dan nenek nya, setan atau iblis berwujud manusia tak ada hati nurani nya sedikit pun pada anak2"
Yuni Camber Camber,Kalau terbukti memang gk kerajinan berarti itu perbuatan  orang yng g punya hati dan kasih sayng hewan aja ada kasih syng  nyo kok manusia bisa berbuat sekeji itu ya Allah ya yarBy
Muhammad Nabil,"Sadis nya nenek dan kakek.,....."
Nurnengsih Haryadi,Izin share yo ni
Reta Altovia,Semoga cepat terungkap pelakunya dn di hukum dgn setimpal.
Mulyeni Mulyeni,Bener tu nenek  dan kakek nya di hukum mati . Jangan  di biarin hidup orang kayak gitu
Fajarni Sarlita,Nenek n kakek y pelaku y nih...apa dasar y..karena capek.kah?
Mhd Rizal,Lah baun tanah... Masih juga tidak punya rasa kasihan... Dua kali dapat hukuman... Dunia dan akherat
Lastri Las,jangan di ksih ampun..hukum mti saja
Rudiyato Rudi,Lagian ayah dan Ibu nya hanya tau membuat anak saja nggak diurus
Nilla,Smg  nrnek dan kakek. D hukumsetimpal
Afrilia,Solok Selatan INFO
Refli Darni,Apa kakek setan itu udah d tangkap
Lusi Lusi,Mudahan pelaku cepat tertangkap...dan dihukum sesuai dg perbuatannya...
Yunis Mawarni,"Ko nnk jo kk zhlim hkum aja biar mti di penjara,binatang"
Eri Togar,semoga cepat ke tangkap sipelaku dan di hukum yg seberat mukin...
Rosmaniar Niar,Manusia macam apa nih dampe tiga cucu nya di matiin ya
Nita Kampai,Di Sol Sel nyo dimano itu kejadiannyo ? Kok tega tega sekali Kakek Neneknya buat cucunya sampai maninggal 3 orang  ?  Subhanallah...
Putri Tangguh,"Jikalau kalian SBG orang tua hanya bsa mencari kesenangan sendiri mengapa mengambil keputusan untuk memiliki buah hati,,,jikalau tak mampu membesarkan nya,banyak orang tua yg lalai hanya demi kesenangan saja,,,,demi Allah aku SBG manusia menangis melih…"
Fitra Anandha,Astagfirullah Alaziiiiim...
Victoria,Astagaaa
Victoria,Lai manusia kk nenek tu tuh ?
Widia Siska Sari,Ndak kali ya
Widia Siska Sari,Kalau manusia di pasti tidak membunuh 3 anak cucu nya
Widia Siska Sari,Lain kali anak2 kecil jangan pernah di tinggalin sama kk atau nnk tiri nya
Widia Siska Sari,Anak adalah titipan dari allah
Abdul Qadir Jailani,Yg aneh nya lagi..org tua nya kemana..
Marlina Yeli Yenti,Astaufirulllah
Rita Anggraini,"Benar ngk ni,? Masak iya seorang nenek tega membunuh cucunya,,satu anak aja lom tentu,apa LG tiga,"
Rasyid Raisya,Hukum dengan seberat-beratnya
Osry Aprilia Putri,"Ini benar ya teman2, kejadian ny dkmpung saya. Ibu sma ayah ny lg jualn pakaian jd di asuh sma nnek kakek ny"
Eddy Monies,Hampir terkuak pslaku nya... mudah2an cepat....
Mirel Sofanti,Iko nak anak yg di surian tu
PutrianniSikumbang Putriannysiekumbangg,Memang tasabuik Bana ndk..yang tiri jarang Nn sayang tulus dari hati ketek nyo ..Wak bia Wak jamua anak di bwah batang cangkeh sawah asal lai ndk lapeh dari Mato awk anak....ndk berani menitip anak lamo2 dh..kadang zaman kni jarang juo Ado hati sanubar…
Alexs Xela,berarti petugas medis yg melakukan pemeriksaan waktu itu tidak becus kerja asal asalan..masa tulang rusuk nya ada yg patah nggak tau..cuma di bilang sesak nafas..apa tidak di ronsen?
Why Hdyt,"Kakine ninine uteke Neng silit,,idek ndase Bae kui kudune,,,"
Mela Sri Natalia,
Muahammad Savickry,Lai dac stres kekek nenek manusia kejam na...dac bsa di agiah ampun t do...skli 3 nyawa malyng dek nyo ..aaa manusia bejat lai na...
Veri Vameo,Indak manusia kakek Jo nenek Nyoo tuu do melebihi seperti Binatang atau iblis Dan juga setan laknat
Hafid Hurairah,Se andainyo aden di kampuang den patahan urek lia mariah ka duoee .. dasar biadab . Bangsat..
Zul Apendi Shi,Hati-hati menitipkan anak dengan orang dekat sekalipun...
Emilda Sri Anggun,"ada yang salah dengan tim medis, orang keracunan itu pasti mereka tau persis tanda2nya. Investigasi harus juga mengarah kepada tim medis atas kelalaian atas mungkin kesengajaan mereka"
Marianis,Semoga  mereka diridoi allah masuk sorga yg paling bagus. Amiiin
Eka Eka,Hukum mati aja 3 anak tewas
Yendrano Frata,Petugas medisnya harus diproses kok bisa salah anilisis. Jgn2 dokter gadungan. Ingat salah analisis pasien bisa berakibat fatal jd petugas kesehatan harus betul2 paham dan ngerti ilmu kedokteran.
Yulia Roza,"Knp pula yg jagain anak"" tu nenek sama kakek tiri ny pula,,,"
Suherman,Nenek kurang ajar ma .hukum mati saja .termasuk orang tua anak .TDK bertanggung jawab sama anak .masa anak2 kecil2.sdh di berikan ke nenek teri lagi.mana tanggung jawab  orang tua .senang saja yg mau.sdh ke luar anak di suruh asuh sama nenek bintang ma…
Silvia Sasmita,Binatang nenek jo kakek tu ma ndk punyo hati nurani do
Nely Yenti,Nenek Jo kakek di hukum mati aja jangan di biarin hidup dasar binatang tidak punya hati
Afliya Husna Zila,"Astagfirullah, apo banau salah anak tu sampai modetu banau tega kaanak ketek2 yiah, saparo gilo urg ko mgkin mah...."
Umar Abdul Aziz,"Kok tega bner y,,,anak sekecil itu......"
Nopibusri,"Dokter gadungan atau cuma gelar aja dokter,"
Renti Renti,"Nenek kakek, biadap"
Ena YD,Ya Allah ya Rabb.. kok kejam sekali lah nenek sama kakek tiri nya yah.. mungkin karna bukan cucu kandung mereka.. semoga pelaku di hukum mati
Avel Dt,Kakek nenek keji lebih dari binatang pantasnya dihukum mati saja
Aan Chaniago,"Kakek jo nenek ko lah Gilo mah, kurang juo agama nampak nyo."
Nurdany Wahiddin,Nenek jo kakek ilang aka sehat nyo lah kemasukan sijundai
Eiz Nasution,"Masalah nyo apo yo kok bs tega yg gaek tu menganiaya cucu tiri nyo, dasar biadap lh"
Des Nimar,Yaa ampuuun....kita aja mencekik anak kucing aja gak berani apalagi manusia sungguh biadap tu orang
Chuwaik Jambak,yaa ampun.kegagalan dan kelalaian berawal dari kedua org tua.
Gusni Afnita,Kalau Ndak sanggup mengasuh anak2 yang kecil seharusnya di serahkan ke panti asuhan jangan paksakan diri untuk merawatnya kalau tidak.punya kasih sayang.
Lina Jumeoct,"Nenek biadapp,,ksihh hukuman gantung janpakk,,"
Yulisma Ema,Kalau memang pembunuhan keji ya kakek  dan nenek harus bayar tagihan nyawa juglah. Atau hukum Mati.
Yus Afriani,mmg binatanglh kakek ma nenek tiriny ko...yo bana tega..iblis
Evi Afriza Lavisa,Iblis Memang
Nofrya Andini Andini,"Astagfirullah hal'aziiim,"
Salsabila,"Kok sampai kakek n nenek tiri yg mengasuh ortu nya kemana,jgn mudah percaya SM orang sekali pun klrga sendiri,ini akibat nya,mana ada d dunia ni yg iklas dan suci hati nya tuk merawat yg bukan darah daging nya"
Qinara,Astagfirullah sungguh kejam nya ya Allah.
Yulia Fitriyanti,Astaghfirullah...
Novi Dan Cici,Biadaap iblis
Efrita OzoNe,Astaghfirullah Hewan saja synk pada anak nya
Nelly Amir,Yg mandiin jenazah kenapa ga tau yaa?? Apa sengaja tidak di laporkan?? Waktu mandikan jenazah kan biasa nya bagian leher pasti di bersihkan jg..jadi curiga jg sama yg mandikan..atau yg mandikan masih saudara nya nenek itu kali
Winno Satria,Labiah dri binatang th mah... Anjiang c di tumpangan anak anjiang lain di gadangan nyo sampai gadang ma...
Sultan Adifa Fije,Ya Allah....benar benar kejam.....
Ny Arkana,"Saya pikir, mungkin bermasalah hanya satu anak saja, mungkin mereka nakal atau apa terus disiksa sampai mati sedangkan anak yg lain melihat kejadian itu, karna takut anak itu mengadukan perbuatan mereka, makanya semua anak dibunuh, namun sayangnya mere…"
Ardison,Matikan saja kakek tirinya biar mampus sekalian
Lusma Yunita,Bakar aja itu kakek dan nenek nya .binatang itu
Indra Chaniago,Astaghfirullah
Edo Ariansyah,"Semoga Allah memberikan Balasan yang Setimpal, Kakek dan nenek nya terpengaruh Sinetron sehingga di praktekkan langsung ke cucu nya."
Ani Fani,Dimana letak hati nurani nenek luar biasa kejam nya massah Allah semoga Tuhan membalas nya anak itu tidak berdosa anak surga itu
Murni Tayib,Lh tau pelaku nyo nco
Dewi Susanti,Bnam lah lai kakandang situmbin.nak mati.
Susnilawati Tanjuang,Astagfirullah
Vivi Marlina,"Astagfrullah, semoga kkek dan nenek nyo dihukum seberat2nyo,"
Gazel Ananta,Tembak mati lai pak
Refi,"Sudah ku duga,,ada yg aneh."
Excelza,G manusia  binatang itumah
Indah Dika,Kejadian y d mna???
Zakira Talita,Itu bukan manusia melainkan setan jahat hukum seberat 2 nya biar mati dalam bui
Buyung Paris,Di rajam sampai mati lai tu pak
Nopelius Tanjung,Tangkok lah lai pak pol
Nova Tirza,"Denger info, polisi emank udah curiga sama calon tsk, tp kurang 1 bukti lg"
Neng EceEk Bininye Babankjujum,Hpht kpn Bun?
Mif Tha,wlaupn sudah msuk pnggul blm tentu sudah siap lahirr... msuk pnggul itu mntukan posisinya bayinyaa sudahh d posisinya/jln labir atau msh sungsang.... bayi siap labir 37-41mnggu
Zianka Hasanatul Laila,Saya anak ke 2 dari 7 bulan udah masuk panggul .lahiran normal di minggu ke 40.
Kitup Tupe,Kadang bidan/dokter kan cuma ngecek/pegang perut aja
Azirah Sumantri,"Iya Bun bnar ni aku jga kmren tgl 8 Bru USG lgi yg ke 2x nya tpi kita dokter nya udh masuk panggul posisinya jga udh bgus trus udh msuk 35-36 week tpi d sruh USG lgi tgl    22 Bun klo black m ada tanda""ktanya"
Adelia Putri,"Sma bun ak juga lahiran perkiran dokterny bulan juli doa in ya bunda""smogh ak lahiran normal:)"
IrohMukti,"Masuk panggul biasanya usia kdngn 7 udah bisa.. Tpi blum tntu siap langsung lahir bund, ttap ada prosesnya lg."
Syahdan Alamsyah,Sekitar jam 12.00 WIB alhamdulillah sudah masuk pemetiksaan
Irwan Kurniawan,Lagi praktek di kliniknya milik pribadinya (mungkin)
Agus Allo,Kalau soal dr di semua RS hampir sama..Yaitu lamaaaa nunggunya .
Cecep Supriadi,"Dicianjur jga sama ""mungkin"" hampir semua RS gtu jga."
Sutinah Tinah,Adis bukan a yg sakit...
De Light,kenapa dokter selalu datang telat
Dana Miharja,Percis di RS jpk jga sprti itu...mungkin dokter nya visit  ke ruangan dulu
Hendri Mulya,mungkin dokter nya malam nya ngeranda eh bukan ngeronda
Dany Fadilah Ramdhany,Biasanya dokternya pagi nya buka praktek pribadi dlu  ..kl rame bs smpe siang..baru beresnya ke rs.. tar sore praktek lg di klinik nya ..
CBey Bikerz,Jln kaki kayak nya ke RsUd nya
Evi Suswati Milagros Batam,Lekas sembuh ya Nak......
Petrus Nainggolan,Tangan Tuhan yang penuh Kuasa menyembuhkan.Amin.
Romi Ana Marpaung,Lekas sembuh ya dek...gbu
Utami Ningtyastuti,Cepet sembuh yaa..sayang
Anggiek Desvita,Syafakillah dek....
Bunga Manurung,Cepat sembuh ya.
Arina Parhusip,Sakit apa dia tan?
Herta Murniaty,Cepat sembuh ya kak si boru kita yg cantik
Mariada Nainggolan,Cepat sembuh ya
Cennorton Lubis,Smg cepat sembuh ya kk...
Tigor Naiggolan,"cepat sebuh ya bere, Tuhan memberkati, nanti malam kami kesana..."
Amelia Novrida,Cepaaat sembuuuhh deekk caylaaaa
Barita Lumbanraja,Cepat sembuh bere tulabg ya...!!!
Ivo Rahayu,Cepat sembuh iya kaila
Retno Prayogi,Syafakillah ya nak ..
Bunda Keato,Moga si boru lekas sembuh ya kk..aamiin
Ayoe Erpe,Cayla yg sakit? Cpt sembuh ya...
Fransiskus Lumban Raja,"Semoga cepat sembuh ya bere, makan yg banyak dan minum yg banyak biar terus cepat naik trombositnya dan banyak minum jus jambu merah, Tuhan memberkati bere."
Norbunga Parhusip,Cepat sembuh ya cantikkk...
Jaya Masta Masta Naingolan,þùhàñ.mèmbeŕķàfì.òbaf.ýàñģķàmùmaķan.ya.0puñg.yà.ķàila.aku.opungmu.fuhanjèsus.memberkafi.
Peterson Nainggolan Mahulae,"Hatop manleon hamu manginum sop daging b1, hatop turun panas nai...."
Dumaria Parhusip,mmg musim kayaknya dbd y eda...disamosir juga banyak yg opname dbd.cepat pulih ya eDa
Andra Blackmammba,Semoga cepat sembuh ea qella
Yulianto Heru,Semoga cepet sembuh ya....
Hosbron Nainggolan,Cepat sembuh ya bere..
Ester Nainggolan,Amin. Tulang ..
Yesinta Siringoringo,Cepat malum bere itu ya eda..
Novika Harianja,Cepat sembuh buat si boru ...
Matias LumbanRaja Ngl,Cepat sembuh ya kyla...
Bhenshoul Kinali Skm,Amin ya allah
Bryan Villy Bherliana Agatha,Baik nya kontrol lagi bund klo dokter udh  blg sruh kontrol ulang.
Shry Ry,"nga selamanya kan kontrol langsung di suruh sc,meski ambil tindakan nga langsung sc pasti ada induksi dulu tapi kalsu semua baik2 aja paling di suruh nunggu lagi"
Putry Laree Laree,"Kontrol aja bun,, saya hpl 12juni"
Nur Aeni,Banyakin jongkok bun.. Aq kemaren begitu bun kepala bayi udah mean dan sering konpal... Ngerasaiin konpal NY itu sampe 3minggu itungan hpl bidan 9 juni hpl usg 12 juni alhamdulilah launcing dede nya 30 mey.. Sering2 hb bun
Resti Aryanivi,Kalo pengalaman aku dulu usg trs kata dokternya debaynya kecil kemungkinan harus lahir sesuai hpl takutnya meninggal di dalam kandungan?lahh aku sama suami denger dokter bilang kek gtu aku takut bnget akhirnya pas waktu HPL tgl  8 agustus aku gk kontro…
Putri Jon Alif,Sama saya juga hpl dri dokter USG 16 juni bun..
Yella Dwi Amaliyanti,"Tante saya dulu juga gtu usg mlh majunya hampir 1/2 bulan pas dia kontrol sih dokter g blg apa"" cuma bilang kepala baby udah masuk panggul bgt tggl nggu hitungan hari, ehh lahirnya pas hpl dari bidan hitungan 40 minggu, bukan hpl USG yg maju tadi skrg …"
Mustahiqul Jannah,"Lbih baik kn kontrol aj Bun, yg tau baik enggaknya kondisi kita y dokter, klo pun g ada yg hrus di khawatir kn jg g akan di tindak dan klo ada yg di khawatir kn emang harus di tindak utk keselamatan ibu dan baby nya"
Nita Yunita,"Sama bun saya jga gitu,pas priksa katanya baby nya udah bagus udah masuk panggul nggak lama lagi lahiran tapi sampe sekarang belum ada tanda2 mau lahiran"
Rafli Reza Muspida Muspida,"Q juga gitu Bun,,"
Nadhira Azkayra Arum Sitepu,"Klo mnrutku selagi bundanya gpp tunggu aja deh , toh cuman ddeknya aja kan yg turun katanya, gda mslah lain... Blom lwat hpl juga..."
Ningrum Septhyani Ray,"Kontrol aja Bun aku aja yg kata dokter ambil tindakan tgl 4 bln ini pas aku balik kontrol tgl 4 itu kata dokter nya masih baik"" aja semua nya jadi di suruh plng dulu klo sampai tgl 20 blm launching jg baru di suruh balik ke RS lg"
Puput Threany Purnama,Berdoa saja Bun sabar  ...Allah udah atur semua kapan waktu nya ..debay harus lahir .saya hpl 12 Juni ...rasa badan udah gak karuan ...tapi yaa tetep sabar ...karena bidan dan dokter bilang semua baik2 aja baik debay nya dan ibu nya ...jadi yaa inti ny…
Alviena Faida Azmi,"dr juga gak ujug ujug nyuruh SC kalo gak ada indikasi ke SC bunda, kalo tensi tinggi, sungsang,panggul kecil kayaknya langsung di suruh SC, tapi kalo gak ada kontraksi kebanhakan di induksi terlebih dahulu, kalo induksi gak ada kenaikan pembukaan baruk…"
Ibu De Billy,"Bun menurut saya mh kontrol lg aja, kalau masalah lahiran mau cs atau normal,yg penting ibu dan debay nya sehat dan selamet 22 nya,udah itu aja jangan takut Bun semangat"
Arvino Napitupulu,Klo menurut ku usg ajah bun
Arvino Napitupulu,"Takutnya nanti salah"" kan"
Lies Triyo,"Tungguin aja Bun,, itu udah dekat tanda²nya,, kurang lebih semingguan lagi ... Insya Allah..."
MamahAsep,"Tunggu aja bun sampai hpl, itu tanda² nya udah mulai mndkati lahiran."
Yulia Nya Wahyu,Tunggu aj dlu Bun itu kan cman  tafsiran dokter aja kdang maju kdang mundur dri tgl hpl
Safitry Muawanah,Maap Bun ngikut nanyaaa aku sekarang malah ada keputihan kaya putih susu gituu ficambur ada lendir kental dikit tapi warna nya ga kaya susu kalo lendirr itu kira kira knpa ya maap Bun
Fey Put,Kalo kepala bayi udah mapan tapi belom keluar palingan diinduksi dulu bun kontrol aja cari solusi yang terbaik
Agung Waluyo,Nanti waktuny lahir juga lahir sendiri bun.kn sudah  ada tanda2 kontraksi
Safaluna,Sering hubungan sm suami biar kontraksi
Cheemoy Bohai,makan kurma bun..
Ayun Nadziroh,Kok sama bngt Bun...tapi saya gk USG..hpl 16 Juni..tapi dedek nya belum launching..semoga segera launching ya Bun aamiin
Revan Dzah,"tunggu jha smpai hpl bun,ku juga gitu hpl bidan udh terlewat pas d usg lgi hpl usg tgl 1juni,kata dokter klo msih gc ada reaksi tgl 4 hrs kontrol lgi,eeh pas tgl 31 mei melahirkn"
Ummaya,"Emg ngak pernah hb sama suami buat bka jalan lahir? Maff kalo jorok, truz bnyakin aktiftas a kaya jalan pagi sore lakuin kerjan rumah yg ringan asal gerak gto ngk bnyak duduk dan tdur."
Novi Fitriyani,"Sama bun cuman di suruh yoga, senam hamil jjp, biyar cpet pembukaan"
Mastu Ria,"Sama spertiku bun. 2 kali usg didokter yg sama alat yg sama, hplnya beda2. Usg usia 2 bln hplnya 22 juni ini. Usg yg kedua tggl 30 mei kmren katanya hplnya bsok pagi tnggal 31 meinya. Aku jd gk fokus bun. Kta dokternya lg tunggu 2 mggu k dpn klo blm l…"
Hana Adzkiya Talita,Berdoa sja bun .ini pengalamnku bun waktu aqu usg kata dokter nya ini harus lahiran skrang hars sc tapi aqu gx mau selang 1 minggu alhmdlilah dede lahir
Maya Susan,Mending kontrol sj Bun. It sm kyk sya jg gt. Barusan habis kontrol
Siti Alika Lika,"Sabar ajh dulu bun,nanti kalo udh waktunya mah ,,detun lahir juga,serahkan sama Alloh bun..."
Desnawita,Tungguin sampai hpl bun...karena itu yg aku lakuin kemaren...
Try Syah,"Sya jga hpl 17 juni masih konpal terus mules ilang""an mudah""an cepet louncing"
Hayang Bisa,"tungguin aja Bun ,klo sudah waktu nya mah nanti juga lahir ko Bun ,saya juga lewat hpl 5 harii Bun , Alhamdulillah anaku GK knpa²"
Imron Rockes,"Sering aja anak.a klo hbs main cuciin muka,karna mank kena debu inshallah klo sering cuci muka inshallah ilang ka pengalaman saya pribadi dan hilang muncul lagy tapi stelah rutin cuci muka klo hbs perjalanan alhamdllah ga pernah lagy"
Nadira Ayu Zulkarnain,"Saya juga pernah mcm itu bund... Malah dah 3x saya kena .. sampai muka saya bengkak sebelah ... Dan saya pon malu mau keluar... Itu sih saya bilang bisul di mata .. sakit nya tak seberapa, tp bengkak nya hampir seluruh wajah saya"
Neng,Sama itu sama ahira lama sembuh nya perawatan juga cukup mahal di Cicendo
Diana Asnawati,"Q sering kaya gini,,"
Rijwanttr,Bru smbuh. Pake ini kemarin
Ririn Dwi Saputri,anaknya mbak q juga gitu mba   ...
Taniah Esther Chey,
Ummu Pita Akbar,Persis sama seperti diriku kmrin kk...diriku pas dikelopak mata...awal dikira bintitan...trkhir ada mata nya seperti bisul...berobat tp lama proses pecahnya...gk sabar ku pecahin sendiri...setelah pecah trus Alhamdulillah kempes dan sembuh.
Rifin Ondi,Klu deket dah Pa Odang jewer...  semoga cepat pulih...
Yuyun Rosida,Semoga segera sembih sakitnya.
Rinjania Ivan,Sakit itu bun...anakq jg gt dl sampe pecah dan sekarang ada bekasnya
Resti Eka Putri,"Aku juga dulu bintitan kaya gitu, hampir 6 bulan. Malu bgt kalo k tempat kerja, tp alhamdulillah skrg udh sembuh. Lekas sembuh ya adek, pake kacamata biar engga kena debu"
Any Any,SAFAKALLAH adek
Wawan Siregar,Kagak urus siapa suruh
Sarozzie Putra Elang Zava,Mungkin ini figur untuk mmbri contoh yg lain agar tidak makan itu barang
Muhammad Taufik,Oh aja
Ali Cak Pongss,Makan sambel ayam gebrek aja mencret. Sok sok an biar apa coba wkwkkwwkkwwk
Steven Yuliano,Untung ga modiar
Aank,Masallah maen2 sm nyawabang ga kasian apa sm keluarga anak2 istri...sy aja bertahun2 pengen hidup s3hat lambung sy bermasalah
Kyo Kaka,Content berujung menyakiti diri sendiri.Nice
Bunga Ngatimah,"Nasib tragis wni secerdas dokter Loise, karena tidak nurut kehendak penguasa. Padahal sebenar nya merupakan asset bangsa untuk pengembangan ilmu pengobatan berbasic ramuan Indonesia khususnya dari suku Dayak yang terkenal itu"
Yon Triono,"Segolongan dokter Terawan, tapi sayang beliau nggak sekuat pak Terawan, akhirnya di ""gila"" kan"
Perli Rijal Palabuhanratu,prinsip dr luis pernah jadi inspirasiku saat mengobati ibuku yg diputuskan dr mengidap covid. Alhamdulillah sampai sekarang sehat lagi.
Disna Wati,RIP dokter Lois. Waktu yg akan membuktikan semuanya. Kok sy jadi ingat Galileo Galilei ..sedih
Ega Marjuki,Negeri yang menolak orang cerdas
Onceman,"Kebenaran selalu datangnya di akhir, klo di awal namanya pendaftaran"
Mamat Rahmat,Kapan Jokowi mundur ?
Nur Fain,"Mestinya dia punya teori seperti ahli virus pak Dhe Indro dg protokolnya, sehingga tidak terlampau berat melawan arus,semoga diterima amal baiknya.."
Gatot Jarot,Yg berbeda pendapat memang sering mendapat 'tanda khusus'. Di negeri ini. Jika sekelas jenderal dokter profesor dan menteri aja bully nya berlapis lapis apalagi seorang dokter lois. Yg hanya bergelar dokter. Semoga menjadi hikmah bagi kita semua bahwa …
Sugiran Dipoleksono,Orang hebat itu musuh nya luar biasa besar
